//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,아이템 테이블,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,,,
//,필수 사용값,,,,,,,,,,,,,,,,,,,,,,,,,
//,아이템 코드,카테고리,장착 슬롯,아이템이름,사용활성화,상단게시,등급,세일,아이콘,요구 명성레벨,요구 주택레벨,게임머니가격,캐쉬가격,아이템설명,성장한계레벨,초기요구경험치,장착악세사리,기간,생산속도,신선도,질병저항,피해저항,먹이소모,,,
label(animal),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,dlvcap,dexp,accecery,month,milkpspeed,milkfreshness,disresist,injresist,consume,bodycode,spotcode,colorcode
,202,가축(1),산양(3),산양 (D등급),1,0,일반(1),0,33,0,0,0,200,아이템 구성,2,1,없음(0),0,1940,60,10,10,20,502,601,3
,203,가축(1),산양(3),산양 (C등급),1,0,일반(1),0,34,0,0,0,200,아이템 구성,3,1,없음(0),0,1910,65,10,10,20,500,602,4
,204,가축(1),산양(3),산양 (B등급),1,0,일반(1),0,35,0,0,0,200,아이템 구성,3,1,없음(0),0,1880,70,10,10,20,501,600,5
,205,가축(1),산양(3),산양 (A등급),1,0,레어(2),0,36,0,0,0,200,아이템 구성,3,1,한개(1),0,1850,75,10,10,20,502,601,6
,206,가축(1),산양(3),산양 (S등급),1,0,레어(2),0,37,0,0,0,200,아이템 구성,4,1,한개(1),0,1820,80,10,10,20,500,602,1
,207,가축(1),산양(3),산양 (S+등급),1,0,레어(2),0,38,0,0,0,200,아이템 구성,4,1,한개(1),0,1790,85,10,10,20,501,600,2
,208,가축(1),산양(3),산양 (SS등급),1,0,레어(2),0,39,0,0,0,200,아이템 구성,4,1,한개(1),0,1760,90,10,10,20,502,601,3
,209,가축(1),산양(3),산양 (SS+등급),1,0,레어(2),0,40,0,0,0,200,아이템 구성,4,1,한개(1),0,1730,95,10,10,20,500,602,4
,210,가축(1),산양(3),산양 (SSS등급),1,0,희귀(3),0,41,0,0,0,200,아이템 구성,5,1,두개(2),0,1700,100,10,10,20,501,600,5
,211,가축(1),산양(3),산양 (Super등급),1,0,희귀(3),0,42,0,0,0,200,아이템 구성,5,1,두개(2),0,1670,105,10,10,20,502,601,6
,212,가축(1),산양(3),산양 (Ultra등급),1,0,희귀(3),0,43,0,0,0,200,아이템 구성,5,1,두개(2),0,1640,110,10,10,20,500,602,1
,213,가축(1),산양(3),산양 (Super Ultra등급),1,0,희귀(3),0,44,0,0,0,200,아이템 구성,5,1,두개(2),0,1610,115,10,10,20,501,600,2
,214,가축(1),산양(3),산양 (Legendary등급),1,0,희귀(3),0,45,0,0,0,200,아이템 구성,5,1,두개(2),0,1580,120,10,10,20,502,601,3
label(equip),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,,accuirespd,,,
,300,장비(2),착유기(4),초보자용 착유기,1,0,일반(1),0,46,0,1,100,0,아이템 구성,,,,,,,,,50,,,
,301,장비(2),착유기(4),숙련자용 착유기,1,0,레어(2),0,47,0,2,200,0,아이템 구성,,,,,,,,,100,,,
,302,장비(2),착유기(4),전문가용 착유기,1,0,레어(2),0,48,0,3,200,0,아이템 구성,,,,,,,,,250,,,
,303,장비(2),착유기(4),맞춤 개조 착유기,1,0,희귀(3),0,49,0,4,200,0,아이템 구성,,,,,,,,,500,,,
,304,장비(2),착유기(4),장인의 착유기,1,0,희귀(3),0,50,0,5,200,0,아이템 구성,,,,,,,,,1000,,,
label(equip),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,,atkspeed,,,
,400,장비(2),총기(5),초보자용 엽총,1,0,일반(1),0,51,0,1,0,100,아이템 구성,,,,,,,,,100,,,
,401,장비(2),총기(5),숙련가용 엽총,1,0,레어(2),0,52,0,2,0,200,아이템 구성,,,,,,,,,200,,,
,402,장비(2),총기(5),전문가용 엽총,1,0,레어(2),0,53,0,3,0,200,아이템 구성,,,,,,,,,300,,,
,403,장비(2),총기(5),맞춤 개조 엽총,1,0,희귀(3),0,54,0,4,0,200,아이템 구성,,,,,,,,,400,,,
,404,장비(2),총기(5),대물저격총,1,0,희귀(3),0,55,0,5,0,200,아이템 구성,,,,,,,,,500,,,
label(equip),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,,bucketsize,,,
,500,장비(2),양동이(6),초보자용 양동이,1,0,일반(1),0,56,0,1,100,0,아이템 구성,,,,,,,,,30,,,
,501,장비(2),양동이(6),숙련가용 양동이,1,0,레어(2),0,57,0,2,200,0,아이템 구성,,,,,,,,,35,,,
,502,장비(2),양동이(6),전문가용 양동이,1,0,레어(2),0,58,0,3,200,0,아이템 구성,,,,,,,,,40,,,
,503,장비(2),양동이(6),이동식 우유 저장통,1,0,희귀(3),0,59,0,4,200,0,아이템 구성,,,,,,,,,45,,,
,504,장비(2),양동이(6),마법의 우유 주머니,1,0,희귀(3),0,60,0,5,200,0,아이템 구성,,,,,,,,,60,,,
label(equip),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,,cropgrowspd,,,
,600,장비(2),농경장비(7),초보자용 경작 장비,1,0,일반(1),0,61,0,1,0,100,아이템 구성,,,,,,,,,100,,,
,601,장비(2),농경장비(7),숙련가용 경작 장비,1,0,레어(2),0,62,0,2,0,200,아이템 구성,,,,,,,,,150,,,
,602,장비(2),농경장비(7),전문가용 경작 장비,1,0,레어(2),0,63,0,3,0,200,아이템 구성,,,,,,,,,200,,,
,603,장비(2),농경장비(7),특수 합금 경작 장비,1,0,희귀(3),0,64,0,4,0,200,아이템 구성,,,,,,,,,300,,,
,604,장비(2),농경장비(7),마법의 경작 장비,1,0,희귀(3),0,65,0,5,0,200,아이템 구성,,,,,,,,,500,,,
label(spendable),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,seedresult,cropamount,,,
,700,소모품(3),씨앗(8),초보 농부의 씨앗,1,0,일반(1),0,66,0,0,100,0,아이템 구성,,,,,,,,1200,1,,,
,701,소모품(3),씨앗(8),경험있는 농부의 씨앗,1,0,레어(2),0,67,0,0,200,0,아이템 구성,,,,,,,,1201,1,,,
,702,소모품(3),씨앗(8),농업전문가의 씨앗,1,0,레어(2),0,68,0,0,200,0,아이템 구성,,,,,,,,1202,1,,,
,703,소모품(3),씨앗(8),특수 유전자 조합 씨앗,1,0,희귀(3),0,69,0,0,200,0,아이템 구성,,,,,,,,1203,1,,,
,704,소모품(3),씨앗(8),잭의 콩,1,0,희귀(3),0,70,0,0,200,0,아이템 구성,,,,,,,,1204,1,,,
label(spendable),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,mincropbonus,maxcropbonus,,,
,800,소모품(3),비료(9),기본 비료,1,0,일반(1),0,71,0,0,0,100,아이템 구성,,,,,,,,1,1,,,
,801,소모품(3),비료(9),숙련자용 비료,1,0,레어(2),0,72,0,0,0,200,아이템 구성,,,,,,,,1,2,,,
,802,소모품(3),비료(9),전문가용 비료,1,0,레어(2),0,73,0,0,0,200,아이템 구성,,,,,,,,2,2,,,
,803,소모품(3),비료(9),고농도유전자비료,1,0,희귀(3),0,74,0,0,0,200,아이템 구성,,,,,,,,2,3,,,
,804,소모품(3),비료(9),농업 장인의 비료,1,0,희귀(3),0,75,0,0,0,200,아이템 구성,,,,,,,,3,3,,,
label(spendable),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,,dmg,,,
,900,소모품(3),탄약(10),기본 탄약,1,0,일반(1),0,76,0,0,100,0,아이템 구성,,,,,,,,,10,,,
,901,소모품(3),탄약(10),숙련자의 사냥용 탄약,1,0,레어(2),0,77,0,0,200,0,아이템 구성,,,,,,,,,25,,,
,902,소모품(3),탄약(10),전문 사냥꾼 탄약,1,0,레어(2),0,78,0,0,200,0,아이템 구성,,,,,,,,,50,,,
,903,소모품(3),탄약(10),대구경 탄약,1,0,희귀(3),0,79,0,0,200,0,아이템 구성,,,,,,,,,80,,,
,904,소모품(3),탄약(10),열화우라늄탄,1,0,희귀(3),0,80,0,0,200,0,아이템 구성,,,,,,,,,150,,,
label(spendable),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,,healpoint,,,
,1100,소모품(3),치료제(11),기본 치료제,1,0,일반(1),0,81,0,0,0,100,아이템 구성,,,,,,,,,10,,,
,1101,소모품(3),치료제(11),일반 치료제,1,0,레어(2),0,82,0,0,0,200,아이템 구성,,,,,,,,,20,,,
,1102,소모품(3),치료제(11),고급 치료제,1,0,레어(2),0,83,0,0,0,200,아이템 구성,,,,,,,,,40,,,
,1103,소모품(3),치료제(11),유전자 치료제,1,0,희귀(3),0,84,0,0,0,200,아이템 구성,,,,,,,,,80,,,
,1104,소모품(3),치료제(11),산낙지,1,0,희귀(3),0,85,0,0,0,200,아이템 구성,,,,,,,,,160,,,
label(spendable),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,freshbonus,feed,,,
,1200,소모품(3),사료(12),기본 사료,1,0,일반(1),0,86,0,0,100,0,아이템 구성,,,,,,,,0,2,,,
,1201,소모품(3),사료(12),일반 사료,1,0,레어(2),0,87,0,0,200,0,아이템 구성,,,,,,,,1,3,,,
,1202,소모품(3),사료(12),영양 듭뿍 사료,1,0,레어(2),0,88,0,0,200,0,아이템 구성,,,,,,,,5,5,,,
,1203,소모품(3),사료(12),최고급 브랜드 사료,1,0,희귀(3),0,89,0,0,200,0,아이템 구성,,,,,,,,10,8,,,
,1204,소모품(3),사료(12),콩깍지,1,0,희귀(3),0,90,0,0,200,0,아이템 구성,,,,,,,,20,10,,,
label(spendable),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,month,workeff,,,
,1300,소모품(3),일꾼(13),아르바이트생,1,0,일반(1),0,91,0,0,0,100,아이템 구성,,,,,,,,1,10,,,
,1301,소모품(3),일꾼(13),귀농 일꾼,1,0,레어(2),0,92,0,0,0,200,아이템 구성,,,,,,,,1,20,,,
,1302,소모품(3),일꾼(13),전문 목장 일꾼,1,0,레어(2),0,93,0,0,0,200,아이템 구성,,,,,,,,1,40,,,
,1303,소모품(3),일꾼(13),하이테크 일꾼 로봇,1,0,희귀(3),0,94,0,0,0,200,아이템 구성,,,,,,,,1,80,,,
,1304,소모품(3),일꾼(13),전설의 일꾼,1,0,희귀(3),0,95,0,0,0,200,아이템 구성,,,,,,,,1,160,,,
label(spendable),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,,,,,
,1400,소모품(3),부활석(14),부활석,1,0,레어(2),0,96,0,0,100,0,아이템 구성,,,,,,,,,0,,,
,1401,소모품(3),부활석(14),의학의 정수,1,0,희귀(3),0,97,0,0,200,0,아이템 구성,,,,,,,,,0,,,
label(spendable),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,month,accelerated,,,
,1500,소모품(3),촉진제(16),일반 생산 촉진제,1,0,일반(1),0,98,0,0,0,100,아이템 구성,,,,,,,,1,100,,,
,1501,소모품(3),촉진제(16),향상된 생산 촉진제,1,0,레어(2),0,99,0,0,0,200,아이템 구성,,,,,,,,1,200,,,
,1502,소모품(3),촉진제(16),고농도 영양 생산 촉진제,1,0,레어(2),0,100,0,0,0,200,아이템 구성,,,,,,,,1,300,,,
,1503,소모품(3),촉진제(16),나노테크 생산 촉진제,1,0,희귀(3),0,101,0,0,0,200,아이템 구성,,,,,,,,1,400,,,
,1504,소모품(3),촉진제(16),해병대 가속제,1,0,희귀(3),0,102,0,0,0,200,아이템 구성,,,,,,,,1,500,,,
label(spendable),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,,,,,exp,,,
,1600,소모품(3),경험치(17),10 EXP 팩,1,0,일반(1),0,103,0,0,100,0,아이템 구성,,,,,,,,,10,,,
,1601,소모품(3),경험치(17),50 EXP 팩,1,0,일반(1),0,104,0,0,200,0,아이템 구성,,,,,,,,,50,,,
,1602,소모품(3),경험치(17),100 EXP 팩,1,0,레어(2),0,105,0,0,200,0,아이템 구성,,,,,,,,,100,,,
,1603,소모품(3),경험치(17),500 EXP 팩,1,0,희귀(3),0,106,0,0,200,0,아이템 구성,,,,,,,,,500,,,
,1604,소모품(3),경험치(17),1 EXP 팩,0,0,일반(1),0,107,0,0,200,0,아이템 구성,,,,,,,,,1,,,
,1605,소모품(3),경험치(17),4 EXP 팩,0,0,일반(1),0,108,0,0,200,0,아이템 구성,,,,,,,,,4,,,
,1606,소모품(3),경험치(17),18 EXP 팩,0,0,일반(1),0,109,0,0,200,0,아이템 구성,,,,,,,,,18,,,
,1607,소모품(3),경험치(17),96 EXP 팩,0,0,레어(2),0,110,0,0,200,0,아이템 구성,,,,,,,,,96,,,
,1608,소모품(3),경험치(17),600 EXP 팩,0,0,희귀(3),0,111,0,0,200,0,아이템 구성,,,,,,,,,600,,,
label(accessory),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,milkpspeed,milkfreshness,disresist,injresist,consume,,,
,1700,액세서리(4),1번액세사리(18),액세서리1번째 1,1,0,일반(1),0,112,0,0,0,100,아이템 구성,,,,,50,-2,0,0,0,,,
,1701,액세서리(4),1번액세사리(18),액세서리1번째 2,1,0,일반(1),0,113,0,0,0,200,아이템 구성,,,,,25,-1,0,0,0,,,
,1702,액세서리(4),1번액세사리(18),액세서리1번째 3,1,0,일반(1),0,114,0,0,0,200,아이템 구성,,,,,10,0,0,5,0,,,
,1703,액세서리(4),1번액세사리(18),액세서리1번째 4,1,0,레어(2),0,115,0,0,0,200,아이템 구성,,,,,0,0,5,5,-1,,,
,1704,액세서리(4),1번액세사리(18),액세서리1번째 5,1,0,레어(2),0,116,0,0,0,200,아이템 구성,,,,,-25,1,0,0,0,,,
,1705,액세서리(4),1번액세사리(18),액세서리1번째 6,1,0,레어(2),0,117,0,0,0,200,아이템 구성,,,,,-50,2,5,0,0,,,
,1706,액세서리(4),1번액세사리(18),액세서리1번째 7,1,0,레어(2),0,118,0,0,0,200,아이템 구성,,,,,0,0,5,0,-2,,,
,1707,액세서리(4),1번액세사리(18),액세서리1번째 8,1,0,희귀(3),0,119,0,0,0,200,아이템 구성,,,,,0,0,0,5,0,,,
,1708,액세서리(4),1번액세사리(18),액세서리1번째 9,1,0,희귀(3),0,120,0,0,0,200,아이템 구성,,,,,0,0,0,10,0,,,
,1709,액세서리(4),1번액세사리(18),액세서리1번째 10,1,0,희귀(3),0,121,0,0,0,200,아이템 구성,,,,,5,0,5,0,-1,,,
label(accessory),itemcode,category,equpslot,itemname,activate,toplist,grade,discount,iconcode,playerlv,houselv,gamecost,cashcost,description,,,,,milkpspeed,milkfreshness,disresist,injresist,consume,,,
,1800,액세서리(4),2번액세사리(19),액세서리2번째 1,1,0,일반(1),0,122,0,0,100,0,아이템 구성,,,,,50,-2,0,0,0,,,
,1801,액세서리(4),2번액세사리(19),액세서리2번째 2,1,0,일반(1),0,123,0,0,200,0,아이템 구성,,,,,25,-1,0,0,0,,,
,1802,액세서리(4),2번액세사리(19),액세서리2번째 3,1,0,일반(1),0,124,0,0,200,0,아이템 구성,,,,,10,0,0,5,0,,,
,1803,액세서리(4),2번액세사리(19),액세서리2번째 4,1,0,레어(2),0,125,0,0,200,0,아이템 구성,,,,,0,0,5,5,-1,,,
,1804,액세서리(4),2번액세사리(19),액세서리2번째 5,1,0,레어(2),0,126,0,0,200,0,아이템 구성,,,,,-25,1,0,0,0,,,
,1805,액세서리(4),2번액세사리(19),액세서리2번째 6,1,0,레어(2),0,127,0,0,200,0,아이템 구성,,,,,-50,2,5,0,0,,,
,1806,액세서리(4),2번액세사리(19),액세서리2번째 7,1,0,레어(2),0,128,0,0,200,0,아이템 구성,,,,,0,0,5,0,-2,,,
,1807,액세서리(4),2번액세사리(19),액세서리2번째 8,1,0,희귀(3),0,129,0,0,200,0,아이템 구성,,,,,0,0,0,5,0,,,
,1808,액세서리(4),2번액세사리(19),액세서리2번째 9,1,0,희귀(3),0,130,0,0,200,0,아이템 구성,,,,,0,0,0,10,0,,,
,1809,액세서리(4),2번액세사리(19),액세서리2번째 10,1,0,희귀(3),0,131,0,0,200,0,아이템 구성,,,,,5,0,5,0,0,,,
