label(tooltip),count,tip
,31,늑대는 여러 종류가 있어요. 강한 늑대는 강력한 총알로 쫓아버리세요.
,32,늑대는 한 달 동안 최대 3마리까지 나올 수 있습니다.
,33,늑대가 동물을 덮칠때 잡으시면 보다 많은 코인을 받을 수 있습니다.
,34,늑대에 대비해서 총알은 충분히 준비해두세요.
,35,질병에 걸린 동물을 오랫동안 치료하지 않으면 죽게됩니다.
,36,질병이 발생하면 동물들이 우유를 만들어내는 속도가 줄어듭니다.
,37,동물이 질병에 걸렸다면 꼭! 치료제를 사용하세요. 치료제는 상점에 있습니다.
,38,동물 도감을 완성하시면 보상이 있습니다.
,39,우편함은 일정 시간 동안 받아가지 않으면 삭제됩니다.
,40,피버모드에서는 마구마구 동물을 터치하세요! 터치할 때 마다 떨어지는 코인은 보너스~
,41,시설물 업그레이드에서 목장의 다양한 시설물을 향상시키세요.
,42,주택을 업그레이드하면 저장할 수 있는 건초의 수량이 늘어납니다.
,43,동물들이 너무 우유를 천천히 생산하는 것 같나요? 촉진제를 사용하세요!
,44,일부 특수한 촉진제는 우유 신선도를 올려줍니다.
,45,일꾼과 촉진제의 신선도 적용은 동물을 직접 짤 때만 적용됩니다.
,46,손이 바쁘세요? 일꾼을 사용하면 게임을 더 쉽게 즐기실수 있습니다.
,47,아이템을 아끼지 마세요!
,48,동물에게 건초를 주지 않으면 우유를 생산하지 않습니다.
,49,높은 등급의 동물일수록 먹이를 많이 먹습니다. 먹보라고 미워하진 마세요^^;
,50,동물에게 줄 건초는 항상 넉넉하게 비축해두세요.
,51,목장에서 살리지 못한 동물은 동물병원에서 확인 할 수 있습니다.
,52,목장에 좋은 동물을 많이 배치해야 더 좋은 품질의 우유를 얻을 수 있어요.
,53,동물이 너무 많아 관리하기 힘들다면 보관함에 잠시 넣어두세요~
,54,프리미엄 교배에서는 더욱 좋은 동물을 얻을 수 있어요!
,55,착유기를 업그레이드 하면 더 빨리 우유를 얻을 수 있습니다.
,56,우유 탱크를 업그레이드하면 상인에게 판매할 우유를 더 많이 모을 수 있습니다.
,57,양동이를 업그레이드하면 우유 탱크에 자주 왔다~갔다~하지 않아도 돼요.
,58,주입기를 업그레이드하면 우유 탱크 터치 횟수가 줄어 시간을 아낄 수 있습니다..
,59,목장 환경을 업그레이드하면 동물들이 병에 걸릴 확률이 낮아집니다.
,60,품질향상 시설을 업그레이드하면 저장된 우유의 신선도가 증가합니다.
,61,우유 생산속도는 가을에 가장 빨라집니다. 일꾼을 함께 사용하면 더 많은 우유를 모을 수 있어요.
,62,항상 늑대를 잡고 난 뒤에는 남은 총알 수를 꼭 확인하세요. 늑대가 잡아가고 난 뒤 후회하지 마세요!
,63,늑대가 나타나면 상점` 경작지`등 메뉴에 들어갈 수 없어요! 평소에 총알과 건초를 꼭 준비하세요.
,64,동물 강화를 통해 능력치가 높은 동물로 만들수 있습니다.
,65,동물 강화레벨이 상승하면 신선도와 공격력이 상승합니다.
,66,강화세포로 동물강화를 하면 동물의 기본 능력치가 상승합니다.
,67,연속거래를 계속 성공시키면 상인거래 기본단가가 상승됩니다.
,68,전국목장에서 목장을 오픈하시면 단가가 더 높은 상인과 거래할 수 있습니다.
,69,상인이 좋아하는 동물들을 보유하고 있으면 거래 단가가 높아져요.
,70,상인의 요구 신선도를 못 맞출것 같으면 상인잠금메뉴를 사용해보세요.
,71,상인이 잠겨있으면 신규 상인을 만날수 없습니다.
,72,상인이 잠겨있으면 다른 페널티는 없습니다.
,73,황금티켓 없이 상인거래를 하면 경험치가 안오릅니다.
,74,상인이 잠겨있거나 황금 티켓이 없으면 새로운 상인을 만날 수 없습니다.
,75,연속거래를 계속 성공시키면 높은 단가의 상인이 오픈됩니다.
,76,레벨이 올라가면 거래 금액도 함께 오릅니다! 열심히 거래하세요.
,77,황금티켓이 있으면 기본 단가를 높게 받을 수 있습니다.
,78,황금티켓이 없으면 보너스 보상이 없으며 경험치 역시 상승하지 않습니다.
,79,엄청난 금액으로 거래를 해주는 황금상인이 있대요~ 대박을 노려보세요!
,80,좋은 상인일 수록 좋은 보너스 아이템을 준답니다.
,81,레벨이 올라갈수록 더 많은 일을 할 수 있습니다. 더 귀여운 동물들과 다양한 시설로 목장을 향상시켜 나가세요.
,82,상인 요구조건을 꾸준히 만족시키면 표창을 받을 수 있어요.
,83,상인이 요구하는 신선도보다 더 높은 신선도의 우유를 판매하면  거래금액이 증가합니다.
,84,상인이 요구하는 신선도와 수량을 모두 만족시키면 특별한 보상이 주어집니다!
,85,낙농등급의 포인트는 1원당 1포인트입니다.
,86,포인트가 일정 모이면 등급이 상승하며 해당 해택을 받을 수 있습니다.
,87,낙농포인트와 VIP포인트는 같은 말이며 1포인트가 1원입니다.
