//,패키지    : 50000 ~ ( 500 ),,,,,,,,,,,,,,,,,,루비(5000),슈퍼백신(802),부활석(1200),,,,,,,,,,,,,,,,,,,,,,,,,,
//,              필수(50000 ~ 59999(관리자가 입력:테이블사용불가),,,,,,,,,,,,,,,,,코인(0),코인(5100),알바의귀재(1002),합성 1시간단축(1600),,,,,,,,,,,,,,,,,,,,,,,,,,
//,동물뽑기 : 60000 ~  ( 600 ),,,,,,,,,,,,,,,,,루비(1),하트(2000),특수촉진제(1103),긴급요청 티켓(2100),,,,,,,,,,,,,,,,,,,,,,,,,,
//,야바위    : 70000 ~  ( 700 ),,,,,,,,,,,,,,,,,하트(2),건초(900),,일반 교배 티켓(2200),,,,,,,,,,,,,,,,,,,,,,,,,,
//label(version),보물      : 120000 ~ ( 1200 ) ,,,,,,,,,,,,,,,,,건초(3),우정포인트(1900),,프리미엄 교배 티켓(2300),,,,,,,,,,,,,,,,,,,,,,,,,,
//,보물뽑기 : 130000 ~ ( 1300 ) ,,,,,,,,,,,"동물, 보물에서는 뽑기 오픈조건임",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,묶음가격,묶음가격,,단일가격,,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10,param11,param12,param13,param14,param15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30
//,아이템 코드,카테고리,서브 카테고리,장착 슬롯,아이템 이름,사용 여부,상단게시,등급,세일여부,아이콘,판매요구 레벨,요구 주택 레벨,코인가격,캐시가격,1회구매수량,판매,아이템 설명,액세서리 슬롯(사용안함),등급을 색으로변경,생산 속도(단계),신선도(다른것이 사용됨 이제는 사용안함),질병 저항,먹이 소모량,아이템 생산 확률(%),피버 생산 확률(%),몸체,회북요구량,먹이통 최대,부활타임(1h),부활석 소모,특수능력,상인거래단가상승,코인,하트,세포 촉진제,신선도,,턴타임,,시간,,방어,,HP,,레벨당 유전자필요수량,
label(animal),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,accessorykind,stargrade,milkspeed,milkfresh,res_disease,consume,coin_creation,fever_creation,bodycode,healpoint,consumeinit,revivaltime,reviveconsume,special_ability,animal_danga,upgamecost,upheart,upboost,freshbase,freshconst,attbase,attconst,timebase,timeconst,defbase,defconst,hpbase,hpconst,upstep,upstepmax
,11,동물(1),소(1),목장(1),딸기우유였소,0,-1,희귀(3),0,11,0,0,0,600,1,340,.,모두(2),등급(3),2450,60,4,3,100,89,203,2,30,51,2,-1,4,240,4,0,31,9,31,9,7 ,6 ,135,13 ,165,5 ,8,64
,12,동물(1),소(1),목장(1),허니버터였소,0,-1,희귀(3),0,12,0,0,0,640,1,360,.,모두(2),등급(3),2401,65,4,3,100,86,204,2,31,54,2,-1,4,240,4,0,33,10,33,10,7 ,6 ,135,13 ,165,5 ,9,72
,13,동물(1),소(1),목장(1),블루베리였소,0,-1,황금(4),0,13,0,0,0,730,1,410,.,모두(2),등급(3),2300,70,5,4,100,83,202,3,32,61,2,-1,5,400,5,0,41,12,41,12,8 ,7 ,160,15 ,190,6 ,11,88
,14,동물(1),소(1),목장(1),울었소,0,-1,황금(4),0,14,0,0,0,770,1,430,.,모두(2),등급(3),2254,75,5,4,100,80,101,3,33,64,2,-1,5,400,5,0,43,13,43,13,8 ,7 ,185,18 ,215,6 ,12,96
,15,동물(1),소(1),목장(1),평양우유,0,-1,황금(4),0,15,0,0,0,890,1,500,.,모두(2),등급(3),2208,90,5,4,100,80,102,4,33,75,2,-1,6,400,5,0,45,13,45,13,8 ,7 ,185,18 ,215,6 ,12,96
,16,동물(1),소(1),목장(1),터프하소,0,-1,전설(5),0,16,0,0,0,1000,1,500,.,모두(2),등급(3),2220,80,4,4,100,82,211,3,26,75,2,301,7,650,6,0,53,16,53,16,10 ,8 ,210,20 ,240,7 ,15,120
,17,동물(1),소(1),목장(1),얼었소,0,-1,전설(5),0,17,0,0,0,2500,1,500,.,모두(2),등급(6),2208,215,10,6,100,80,212,5,43,100,4,303,7,650,6,0,55,16,55,16,10 ,8 ,235,23 ,265,8 ,15,120
,18,동물(1),소(1),목장(1),신비하소,0,-1,전설(5),0,18,0,0,0,1400,1,500,.,모두(2),등급(3),2208,90,5,2,100,80,213,2,26,75,2,-1,7,650,6,0,58,17,58,17,10 ,8 ,235,23 ,265,8 ,16,128
,19,동물(1),소(1),목장(1),골드미스였소,0,-1,전설(5),0,19,1,0,0,500,1,340,.,모두(2),등급(2),2500,55,4,3,100,89,214,2,30,51,2,-1,9,650,8,0,68,20,68,20,12 ,9 ,285,28 ,315,9 ,19,152
,20,동물(1),소(1),목장(1),환영하소,0,-1,붉은(6),0,20,0,1,0,1400,1,1000,.,모두(2),등급(4),2208,125,6,5,100,80,215,4,43,80,3,-1,9,850,8,0,71,21,71,21,12 ,9 ,285,28 ,315,9 ,20,160
,21,동물(1),소(1),목장(1),녹차라떼였소,0,-1,붉은(6),0,21,0,1,0,1600,1,2000,.,모두(2),등급(5),2208,150,7,5,100,80,216,4,43,85,3,-1,9,850,8,0,73,22,73,22,12 ,9 ,310,30 ,340,10 ,21,168
,22,동물(1),소(1),목장(1),소(지원용),0,-1,저급(0),0,1,0,0,0,0,1,0,.,모두(2),등급(1),3000,8,1,1,0,108,100,1,25,3,1,-1,0,40,1,0,5,1,6,1,2 ,3 ,10,1 ,40,1 ,1,1
,23,동물(1),소(1),목장(1),비가오고있소,0,-1,붉은(6),0,23,0,1,0,1800,1,3000,.,모두(2),등급(5),2208,180,8,6,100,80,217,4,43,90,3,-1,11,850,10,0,86,25,86,25,14 ,11 ,360,35 ,390,11 ,24,192
,24,동물(1),소(1),목장(1),오리였소,0,-1,붉은(6),0,24,0,2,0,2000,1,3100,.,모두(2),등급(5),2206,185,9,6,100,80,219,4,44,465,4,-1,11,850,10,0,89,26,89,26,14 ,11 ,360,35 ,390,11 ,25,200
,25,동물(1),소(1),목장(1),팬더였소,0,-1,붉은(6),0,25,0,2,0,2200,1,3200,.,모두(2),등급(5),2206,195,9,6,100,80,222,4,44,480,4,-1,12,850,10,0,91,27,91,27,15 ,11 ,385,38 ,415,11 ,26,208
,26,동물(1),소(1),목장(1),잘구워졌소,0,-1,영웅(7),0,26,0,2,0,2400,1,3300,.,모두(2),등급(5),2206,205,9,6,100,80,223,4,44,495,4,-1,14,1100,12,0,105,31,105,31,18 ,12 ,435,43 ,465,13 ,30,240
,27,동물(1),소(1),목장(1),푸딩소,0,-1,영웅(7),0,27,0,3,0,2600,1,3500,.,모두(2),등급(6),2204,215,9,6,100,80,218,4,44,525,4,-1,14,1100,12,0,108,32,108,32,18 ,12 ,460,45 ,490,13 ,31,248
,28,동물(1),소(1),목장(1),아이스크림소,0,-1,영웅(7),0,28,0,3,0,2800,1,3600,.,모두(2),등급(6),2204,230,9,6,100,80,220,4,44,540,4,-1,14,1100,12,0,111,32,111,32,18 ,12 ,460,45 ,490,13 ,31,248
,29,동물(1),소(1),목장(1),왕자였소,0,-1,영웅(7),0,29,0,3,0,3000,1,3700,.,모두(2),등급(6),2204,245,9,6,100,80,221,4,44,555,4,-1,16,1100,14,0,126,37,126,37,20 ,13 ,535,53 ,565,15 ,36,288
,30,동물(1),소(1),목장(1),젖소미정14,0,-1,희귀(3),0,30,0,0,0,890,1,500,.,모두(2),등급(3),2208,90,5,2,100,80,102,2,26,75,2,-1,4,240,4,0,30,9,30,9,7 ,6 ,135,13 ,165,5 ,8,64
,31,동물(1),소(1),목장(1),젖소미정15,0,-1,희귀(3),0,31,0,0,0,890,1,500,.,모두(2),등급(3),2208,90,5,2,100,80,102,2,26,75,2,-1,4,240,4,0,30,9,30,9,7 ,6 ,135,13 ,165,5 ,8,64
,32,동물(1),소(1),목장(1),젖소미정16,0,-1,희귀(3),0,32,0,0,0,890,1,500,.,모두(2),등급(3),2208,90,5,2,100,80,102,2,26,75,2,-1,4,240,4,0,30,9,30,9,7 ,6 ,135,13 ,165,5 ,8,64
label(animal),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,accessorykind,stargrade,milkspeed,milkfresh,res_disease,consume,coin_creation,fever_creation,bodycode,healpoint,consumeinit,revivaltime,reviveconsume,special_ability,animal_danga,upgamecost,upheart,upboost,freshbase,freshconst,attbase,attconst,timebase,timeconst,defbase,defconst,hpbase,hpconst,upstep,upstepmax
,100,동물(1),양(2),목장(1),흰양,1,-1,저급(0),0,100,1,0,0,200,1,190,.,모두(2),등급(1),2744,20,3,1,110,100,500,1,27,28,1,-1,1,40,1,0,9,3,9,3,3 ,2 ,35,3 ,65,3 ,2,16
,101,동물(1),양(2),목장(1),갈색양,1,-1,저급(0),0,101,3,0,0,220,1,190,.,모두(2),등급(1),2689,25,3,1,110,96,506,1,28,28,1,-1,1,40,2,0,10,3,10,3,3 ,2 ,35,3 ,65,3 ,2,16
,102,동물(1),양(2),목장(1),분홍양,0,-1,일반(1),0,102,0,0,0,280,1,240,.,모두(2),등급(2),2635,30,3,1,110,96,507,1,28,36,1,-1,1,60,2,0,12,4,12,4,3 ,2 ,60,5 ,90,3 ,3,24
,103,동물(1),양(2),목장(1),분홍하트양,0,-1,일반(1),0,103,5,0,0,300,1,250,.,모두(2),등급(2),2646,35,4,2,110,96,501,1,28,37,1,-1,2,60,2,0,17,5,17,5,4 ,2 ,60,5 ,90,3 ,4,32
,104,동물(1),양(2),목장(1),연두하트양,0,-1,고급(2),0,104,0,0,0,380,1,260,.,모두(2),등급(2),2593,40,4,2,110,96,601,2,28,39,1,-1,2,120,2,0,19,6,19,6,4 ,3 ,85,8 ,115,4 ,5,40
,105,동물(1),양(2),목장(1),파랑하트양,0,-1,고급(2),0,105,8,0,0,420,1,280,.,모두(2),등급(2),2541,45,4,2,110,92,603,2,29,42,1,-1,2,120,2,0,21,6,21,6,4 ,3 ,85,8 ,115,4 ,5,40
,106,동물(1),양(2),목장(1),연두눈꽃양,0,-1,희귀(3),0,106,0,0,0,500,1,340,.,모두(2),등급(2),2450,50,5,2,110,89,502,2,30,51,2,-1,3,240,3,0,26,8,26,8,6 ,3 ,110,10 ,140,5 ,7,56
,107,동물(1),양(2),목장(1),보라눈꽃양,0,-1,희귀(3),0,107,11,0,0,540,1,360,.,모두(2),등급(2),2401,55,5,3,110,86,602,2,31,54,2,-1,3,240,3,0,28,9,28,9,6 ,3 ,110,10 ,140,5 ,8,64
,108,동물(1),양(2),목장(1),파랑눈꽃양,0,-1,희귀(3),0,108,0,0,0,640,1,360,.,모두(2),등급(3),2352,60,5,3,110,86,604,2,31,54,2,-1,4,240,4,0,30,9,30,9,7 ,4 ,135,13 ,165,5 ,8,64
,109,동물(1),양(2),목장(1),티라미스양,0,-1,황금(4),0,109,14,0,0,700,1,390,.,모두(2),등급(3),2254,65,6,3,110,80,503,2,33,58,2,-1,5,400,5,0,38,11,38,11,8 ,4 ,160,15 ,190,6 ,10,80
,110,동물(1),양(2),목장(1),장미양,0,-1,황금(4),0,110,0,0,0,770,1,430,.,모두(2),등급(3),2208,70,6,3,110,80,505,3,33,64,2,-1,5,400,5,0,40,12,40,12,8 ,4 ,160,15 ,190,6 ,11,88
,111,동물(1),양(2),목장(1),딸기초코양,0,-1,황금(4),0,111,19,0,0,810,1,450,.,모두(2),등급(3),2163,75,6,4,110,78,508,3,34,67,2,-1,5,400,5,0,42,13,42,13,8 ,5 ,185,18 ,215,6 ,12,96
,112,동물(1),양(2),목장(1),파랑줄리엣양,0,-1,전설(5),0,112,0,0,0,1070,1,510,.,모두(2),등급(4),2100,100,7,4,110,75,504,3,35,76,3,-1,7,650,6,0,52,16,52,16,10 ,5 ,210,20 ,240,7 ,15,120
,113,동물(1),양(2),목장(1),까망딸기초코양,0,-1,전설(5),0,113,0,0,0,1310,1,550,.,모두(2),등급(4),2058,120,7,4,110,73,509,3,36,82,3,-1,7,650,6,0,55,16,55,16,10 ,6 ,235,23 ,265,8 ,15,120
,114,동물(1),양(2),목장(1),검정귀족양,0,-1,전설(5),0,114,0,0,0,1480,1,620,.,모두(2),등급(4),2016,140,7,4,110,73,510,4,36,93,3,-1,7,650,6,0,58,17,58,17,10 ,6 ,235,23 ,265,8 ,16,128
,115,동물(1),양(2),목장(1),황금해적양,0,-1,전설(5),0,115,0,0,0,1600,1,620,.,모두(2),등급(4),2058,115,6,4,110,78,605,3,28,93,3,302,9,650,8,0,68,20,68,20,12 ,7 ,285,28 ,315,9 ,19,152
,116,동물(1),양(2),목장(1),블루 버블바니양,0,-1,붉은(6),0,116,0,0,0,1800,1,620,.,모두(2),등급(4),2016,140,7,3,110,73,606,3,28,93,3,-1,9,850,8,0,71,21,71,21,12 ,7 ,285,28 ,315,9 ,20,160
,117,동물(1),양(2),목장(1),검은캣양,0,-1,붉은(6),0,117,0,0,0,2700,1,620,.,모두(2),등급(7),2016,280,12,6,110,73,607,5,46,118,5,323,9,850,8,0,74,22,74,22,12 ,7 ,310,30 ,340,10 ,21,168
,118,동물(1),양(2),목장(1),흰색 머리띠양,0,-1,붉은(6),0,118,1,0,0,810,1,450,.,모두(2),등급(3),2163,80,6,4,110,78,608,3,34,67,2,-1,11,850,10,0,87,25,87,25,14 ,8 ,360,35 ,390,11 ,24,192
,119,동물(1),양(2),목장(1),하얀후드양,0,-1,붉은(6),0,119,0,1,0,1700,1,1000,.,모두(2),등급(5),2016,160,8,5,110,73,609,5,46,98,4,-1,12,850,10,0,90,26,90,26,14 ,9 ,385,38 ,415,11 ,25,200
,120,동물(1),양(2),목장(1),연보라후드양,0,-1,붉은(6),0,120,0,1,0,1900,1,2000,.,모두(2),등급(5),2016,200,9,5,110,73,610,5,46,103,4,-1,12,850,10,0,93,27,93,27,15 ,9 ,385,38 ,415,11 ,26,208
,121,동물(1),양(2),목장(1),검은후드양,0,-1,영웅(7),0,121,0,1,0,2100,1,3000,.,모두(2),등급(6),2016,240,10,6,110,73,611,5,46,108,4,-1,14,1100,12,0,106,31,106,31,18 ,10 ,435,43 ,465,13 ,30,240
,122,동물(1),양(2),목장(1),하늘공주양,0,-1,영웅(7),0,122,0,2,0,2300,1,3100,.,모두(2),등급(6),2014,245,10,6,110,73,612,5,47,465,5,-1,14,1100,12,0,109,32,109,32,18 ,10 ,460,45 ,490,13 ,31,248
,123,동물(1),양(2),목장(1),하얀공주양,0,-1,영웅(7),0,123,0,2,0,2500,1,3200,.,모두(2),등급(6),2014,255,10,6,110,73,614,5,47,480,5,-1,15,1100,13,0,113,33,113,33,19 ,10 ,460,45 ,490,13 ,32,256
,124,동물(1),양(2),목장(1),분홍공주양,0,-1,영웅(7),0,124,0,2,0,2700,1,3300,.,모두(2),등급(6),2014,270,10,6,110,73,615,5,47,495,5,-1,17,1100,14,0,128,37,128,37,20 ,12 ,535,53 ,565,15 ,36,288
,125,동물(1),양(2),목장(1),분홍과일양,0,-1,지존(8),0,125,0,3,0,2900,1,3500,.,모두(2),등급(7),2012,285,10,6,110,73,613,5,47,525,5,-1,17,1500,15,0,132,39,132,39,21 ,12 ,560,55 ,590,16 ,38,304
,126,동물(1),양(2),목장(1),노랑과일양,0,-1,지존(8),0,126,0,3,0,3100,1,3600,.,모두(2),등급(7),2012,300,10,6,110,73,616,5,47,540,5,-1,18,1500,16,0,136,40,136,40,22 ,12 ,560,55 ,590,16 ,39,312
,127,동물(1),양(2),목장(1),민트과일양,0,-1,지존(8),0,127,0,3,0,3300,1,3700,.,모두(2),등급(7),2012,315,10,6,110,73,617,5,47,555,5,-1,20,1500,17,0,153,45,153,45,24 ,14 ,635,63 ,665,18 ,44,352
,128,동물(1),양(2),목장(1),양미정14,0,-1,희귀(3),0,128,0,0,0,1480,1,620,.,모두(2),등급(4),2016,140,7,3,110,73,510,3,28,93,3,-1,4,240,4,0,30,9,30,9,7 ,4 ,135,13 ,165,5 ,8,64
,129,동물(1),양(2),목장(1),양미정15,0,-1,희귀(3),0,129,0,0,0,1480,1,620,.,모두(2),등급(4),2016,140,7,3,110,73,510,3,28,93,3,-1,4,240,4,0,30,9,30,9,7 ,4 ,135,13 ,165,5 ,8,64
,130,동물(1),양(2),목장(1),양미정16,0,-1,희귀(3),0,130,0,0,0,1480,1,620,.,모두(2),등급(4),2016,140,7,3,110,73,510,3,28,93,3,-1,4,240,4,0,30,9,30,9,7 ,4 ,135,13 ,165,5 ,8,64
label(animal),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,accessorykind,stargrade,milkspeed,milkfresh,res_disease,consume,coin_creation,fever_creation,bodycode,healpoint,consumeinit,revivaltime,reviveconsume,special_ability,animal_danga,upgamecost,upheart,upboost,freshbase,freshconst,attbase,attconst,timebase,timeconst,defbase,defconst,hpbase,hpconst,upstep,upstepmax
,200,동물(1),산양(3),목장(1),애기산양,1,-1,일반(1),0,200,0,0,0,300,1,250,.,모두(2),등급(2),2593,30,5,2,120,96,300,1,28,37,1,-1,1,60,2,0,13,4,13,4,3 ,2 ,60,5 ,90,3 ,3,24
,201,동물(1),산양(3),목장(1),산양,0,-1,일반(1),0,201,0,0,0,330,1,280,.,모두(2),등급(2),2541,35,5,2,120,92,308,1,29,42,1,-1,2,60,2,0,15,5,15,5,4 ,2 ,60,5 ,90,3 ,4,32
,202,동물(1),산양(3),목장(1),공주병산양,0,-1,일반(1),0,202,0,0,0,420,1,280,.,모두(2),등급(2),2490,40,5,2,120,89,309,2,30,42,1,-1,2,60,2,0,17,5,17,5,4 ,2 ,60,5 ,90,3 ,4,32
,203,동물(1),산양(3),목장(1),꽃리본산양,0,-1,고급(2),0,203,0,0,0,480,1,320,.,모두(2),등급(2),2401,45,6,3,120,86,302,2,31,48,1,-1,3,120,3,0,23,7,23,7,6 ,3 ,85,8 ,115,4 ,6,48
,204,동물(1),산양(3),목장(1),새싹산양,0,-1,고급(2),0,204,0,0,0,540,1,360,.,모두(2),등급(2),2352,50,6,3,120,86,402,2,31,54,2,-1,3,120,3,0,25,7,25,7,6 ,3 ,110,10 ,140,5 ,6,48
,205,동물(1),산양(3),목장(1),날개산양,0,-1,희귀(3),0,205,0,0,0,580,1,390,.,모두(2),등급(2),2304,55,6,3,120,83,403,2,32,58,2,-1,3,240,3,0,27,8,27,8,6 ,3 ,110,10 ,140,5 ,7,56
,206,동물(1),산양(3),목장(1),맑음산양,0,-1,황금(4),0,206,0,0,0,700,1,390,.,모두(2),등급(3),2208,60,7,3,120,80,301,2,33,58,2,-1,4,400,4,0,36,11,36,11,7 ,4 ,160,15 ,190,6 ,10,80
,207,동물(1),산양(3),목장(1),녹십자산양,0,-1,황금(4),0,207,0,0,0,750,1,420,.,모두(2),등급(3),2163,65,7,4,120,78,401,2,34,63,2,-1,5,400,5,0,38,11,38,11,8 ,4 ,160,15 ,190,6 ,10,80
,208,동물(1),산양(3),목장(1),아가씨산양,0,-1,황금(4),0,208,0,0,0,810,1,450,.,모두(2),등급(3),2119,70,7,4,120,75,404,3,35,67,2,-1,5,400,5,0,41,12,41,12,8 ,4 ,160,15 ,190,6 ,11,88
,209,동물(1),산양(3),목장(1),훈남산양,0,-1,전설(5),0,209,0,0,0,1030,1,490,.,모두(2),등급(3),2058,90,8,4,120,73,304,3,36,73,2,-1,7,650,6,0,53,16,53,16,10 ,5 ,210,20 ,240,7 ,15,120
,210,동물(1),산양(3),목장(1),롤리팝산양,0,-1,전설(5),0,210,0,0,0,1120,1,540,.,모두(2),등급(4),2016,100,8,4,120,73,305,3,36,81,3,-1,7,650,6,0,55,16,55,16,10 ,6 ,235,23 ,265,8 ,15,120
,211,동물(1),산양(3),목장(1),쿠앤크산양,0,-1,전설(5),0,211,0,0,0,1210,1,580,.,모두(2),등급(4),1975,110,8,5,120,71,310,3,37,87,3,-1,7,650,6,0,58,17,58,17,10 ,6 ,235,23 ,265,8 ,16,128
,212,동물(1),산양(3),목장(1),캬라멜산양,0,-1,붉은(6),0,212,0,0,0,1750,1,650,.,모두(2),등급(5),1950,160,9,5,120,71,303,4,37,97,4,-1,9,850,8,0,73,21,73,21,12 ,7 ,310,30 ,340,10 ,20,160
,213,동물(1),산양(3),목장(1),얼룩산양,0,-1,붉은(6),0,213,0,0,0,2000,1,740,.,모두(2),등급(5),1911,190,9,5,120,69,306,4,38,111,4,-1,10,850,9,0,76,22,76,22,13 ,7 ,310,30 ,340,10 ,21,168
,214,동물(1),산양(3),목장(1),악마산양,0,-1,붉은(6),0,214,0,0,0,2470,1,830,.,모두(2),등급(6),1872,230,9,5,120,67,307,4,39,124,5,-1,10,850,9,0,79,23,79,23,13 ,8 ,335,33 ,365,10 ,22,176
,215,동물(1),산양(3),목장(1),얼음산양,0,-1,붉은(6),0,215,0,0,0,2600,1,830,.,모두(2),등급(5),1930,170,8,5,120,71,311,4,29,100,4,300,12,850,10,0,96,28,96,28,15 ,9 ,410,40 ,440,12 ,27,216
,216,동물(1),산양(3),목장(1),흑백산양,0,-1,영웅(7),0,216,0,0,0,2800,1,830,.,모두(2),등급(6),1872,230,9,5,120,67,312,4,29,124,5,-1,13,1100,11,0,100,29,100,29,17 ,9 ,410,40 ,440,12 ,28,224
,217,동물(1),산양(3),목장(1),뭉개뭉개산양,0,-1,영웅(7),0,217,0,0,0,3000,1,830,.,모두(2),등급(7),1872,345,14,7,120,67,313,5,49,149,7,332,13,1100,11,0,103,30,103,30,17 ,10 ,435,43 ,465,13 ,29,232
,218,동물(1),산양(3),목장(1),다람쥐산양,0,-1,영웅(7),0,218,1,0,0,1180,1,540,.,모두(2),등급(4),2016,100,8,4,120,73,314,3,36,81,3,-1,16,1100,14,0,123,36,123,36,20 ,11 ,510,50 ,540,15 ,35,280
,219,동물(1),산양(3),목장(1),초고도넛산양,0,-1,영웅(7),0,219,1,1,0,2000,1,1000,.,모두(2),등급(6),1872,210,10,6,120,67,405,5,49,129,6,-1,17,1100,14,0,127,37,127,37,20 ,12 ,535,53 ,565,15 ,36,288
,220,동물(1),산양(3),목장(1),롱헤어산양,0,-1,지존(8),0,220,1,1,0,2200,1,2000,.,모두(2),등급(6),1872,260,11,6,120,67,406,5,49,134,6,-1,17,1500,15,0,131,38,131,38,21 ,12 ,535,53 ,565,15 ,37,296
,221,동물(1),산양(3),목장(1),프레첼산양,0,-1,지존(8),0,221,1,1,0,2400,1,3000,.,모두(2),등급(7),1872,305,12,7,120,67,407,5,49,139,6,-1,20,1500,17,0,154,45,154,45,24 ,14 ,635,63 ,665,18 ,44,352
